"","x"
"1","Caffeine"
"2","Hydrogen Ion"
"3","Oxygen"
"4","NADPH"
"5","Water"
"6","Paraxanthine"
"7","NADP"
"8","Formaldehyde"
"9","4-Aminobiphenyl"
"10","N-Hydroxy-4-aminobiphenyl"
"11","Butyric acid"
"12","Adenosine triphosphate"
"13","Pyrophosphate"
"14","Adenosine monophosphate"
"15","Butyryl-CoA"
"16","FAD"
"17","Crotonoyl-CoA"
"18","FADH"
"19","3HB-CoA"
"20","NAD"
"21","Acetoacetyl-CoA"
"22","NADH"
"23","Decanoyl-CoA (n-C10:0CoA)"
"24","(2E)-Decenoyl-CoA"
"25","(S)-Hydroxydecanoyl-CoA"
"26","3-Oxodecanoyl-CoA"
"27","Coenzyme A"
"28","Octanoyl-CoA"
"29","Acetyl-CoA"
"30","Hexanoyl-CoA"
"31","trans-2-Hexenoyl-CoA"
"32","(S)-Hydroxyhexanoyl-CoA"
"33","3-Oxohexanoyl-CoA"
"34","Lauroyl-CoA"
"35","(2E)-Dodecenoyl-CoA"
"36","(S)-3-Hydroxydodecanoyl-CoA"
"37","3-Oxododecanoyl-CoA"
"38","Tetradecanoyl-CoA"
"39","(2E)-Tetradecenoyl-CoA"
"40","(S)-3-Hydroxytetradecanoyl-CoA"
"41","3-Oxotetradecanoyl-CoA"
"42","(2E)-Octenoyl-CoA"
"43","(S)-Hydroxyoctanoyl-CoA"
"44","3-Oxooctanoyl-CoA"
"45","Palmityl-CoA"
"46","(2E)-Hexadecenoyl-CoA"
"47","(S)-3-Hydroxyhexadecanoyl-CoA"
"48","3-Oxohexadecanoyl-CoA"
"49","Glutathione"
"50","Acetaminophen"
"51","Hydrogen"
"52","Benzene"
"53","Phenol"
"54","Carbon tetrachloride"
"55","Cl-"
"56","Halothane"
"57","Ethanol"
"58","Acetaldehyde"
"59","Vinyl chloride"
"60","Benzoic acid"
"61","Benzoyl-CoA"
"62","Glycine"
"63","Hippuric acid"
"64","Salicylic acid"
"65","Salicyluric acid"
"66","7a-Hydroxy-cholestene-3-one"
"67","7a_12a-Dihydroxy-cholestene-3-one"
"68","Cholesterol"
"69","24-Hydroxycholesterol"
"70","27-Hydroxycholesterol"
"71","7a-Hydroxycholesterol"
"72","7a_12a-Dihydroxy-5b-cholestan-3-one"
"73","7a-Hydroxy-5b-cholestan-3-one"
"74","27-Deoxy-5b-cyprinol"
"75","3a_7a_12a-Trihydroxy-5b-cholestan-26-al"
"76","3a_7a_12a-Trihydroxy-5b-cholestanoic acid"
"77","25(R) THCA-CoA"
"78","25(S) THCA-CoA"
"79","3a_7a_12a-Trihydroxy-5b-cholest-24-enoyl-CoA"
"80","Hydrogen peroxide"
"81","3a_7a_12a-Trihydroxy-5b-24-oxocholestanoyl-CoA"
"82","Propionyl-CoA"
"83","Taurine"
"84","Glycocholic acid"
"85","Taurocholic acid"
"86","Chenodeoxycholic acid glycine conjugate"
"87","taurochenodeoxycholate"
"88","Phosphate"
"89","ADP"
"90","Uridine diphosphategalactose"
"91","Uridine diphosphate glucuronic acid"
"92","Carboxylate"
"93","Monolysocardiolipin"
"94","PC(16:0/16:0)"
"95","1-Acyl-sn-glycero-3-phosphoethanolamine"
"96","DG(16:0/16:0/0:0)"
"97","Glycerol"
"98","Fatty acid"
"99","2-Acyl-sn-glycero-3-phosphoethanolamine"
"100","1-Acyl-sn-glycero-3-phosphoglycerol"
"101","1-Phosphatidyl-D-myo-inositol"
"102","1-Acylglycerophosphoinositol"
"103","1-acyl-sn-glycero-3-phosphoserine"
"104","2-Acyl-sn-glycero-3-phosphoserine"
"105","1-Phosphatidyl-1D-myo-inositol 4-phosphate"
"106","Oxoglutaric acid"
"107","Succinic acid"
"108","Carbon dioxide"
"109","Pregnenolone"
"110","17a-Hydroxypregnenolone"
"111","Androstenedione"
"112","Progesterone"
"113","17-Hydroxyprogesterone"
"114","Testosterone"
"115","Carnitine"
"116","Acetic acid"
"117","Tyramine"
"118","Ammonia"
"119","4-Hydroxyphenylacetaldehyde"
"120","Serotonin"
"121","5-Hydroxyindoleacetaldehyde"
"122","Phenylethylamine"
"123","Phenylacetaldehyde"
"124","Oxidized glutathione"
"125","7-Dehydrodesmosterol"
"126","7-Dehydrocholesterol"
"127","Phosphoadenosine phosphosulfate"
"128","Adenosine 3'_5'-diphosphate"
"129","Pantothenic acid"
"130","D-4'-Phosphopantothenate"
"131","L-Cysteine"
"132","4-Phosphopantothenoylcysteine"
"133","Pantetheine 4'-phosphate"
"134","Dephospho-CoA"
"135","Leukotriene B4"
"136","Prostaglandin H2"
"137","Thromboxane A2"
"138","Prostaglandin I2"
"139","Estradiol"
"140","25-Hydroxycholesterol"
"141","20a_22b-Dihydroxycholesterol"
"142","4-Methylpentanal"
"143","Cortexolone"
"144","Deoxycorticosterone"
"145","Corticosterone"
